1,1,1,0,0
2,3,33,0,0
3,5,2,0,0
4,7,34,0,0
5,9,3,0,0
6,11,35,0,0
7,13,4,0,0
8,15,36,0,0
9,17,5,0,0
10,19,37,0,0
11,21,6,0,0
12,23,38,0,0
13,25,7,0,0
14,27,39,0,0
15,29,8,0,0
16,31,40,0,0
17,33,9,0,0
18,35,41,0,0
19,37,10,0,0
20,39,42,0,0
21,41,11,0,0
22,43,43,0,0
23,45,12,0,0
24,47,44,0,0
25,49,13,0,0
26,51,45,0,0
27,53,14,0,0
28,55,46,0,0
29,57,15,0,0
30,59,47,0,0
31,61,16,0,0
32,63,48,0,0
33,2,17,0,0
34,4,49,0,0
35,6,18,0,0
36,8,50,0,0
37,10,19,0,0
38,12,51,0,0
39,14,20,0,0
40,16,52,0,0
41,18,21,0,0
42,20,53,0,0
43,22,22,0,0
44,24,54,0,0
45,26,23,0,0
46,28,55,0,0
47,30,24,0,0
48,32,56,0,0
49,34,25,0,0
50,36,57,0,0
51,38,26,0,0
52,40,58,0,0
53,42,27,0,0
54,44,59,0,0
55,46,28,0,0
56,48,60,0,0
57,50,29,0,0
58,52,61,0,0
59,54,30,0,0
60,56,62,0,0
61,58,31,0,0
62,60,63,0,0
63,62,32,0,0
64,64,64,0,0
